iter	MAE
0	2.260924288
1	2.212274732
2	2.165466687
3	2.12025895
4	2.077132849
5	2.035374696
6	1.997926925
7	1.961686811
8	1.925847711
9	1.890764958
10	1.860246585
11	1.827858873
12	1.799959984
13	1.768990431
14	1.740647746
15	1.709103129
16	1.684240227
17	1.66029245
18	1.63740921
19	1.612303758
20	1.592443899
21	1.571519611
22	1.553077039
23	1.533397344
24	1.514128568
25	1.496362834
26	1.480563076
27	1.46180149
28	1.444591064
29	1.430861757
30	1.415091029
31	1.403098382
32	1.386209406
33	1.370407278
34	1.356907334
35	1.344410531
36	1.33271237
37	1.320512804
38	1.30675379
39	1.295693886
40	1.283282134
41	1.27131492
42	1.262096119
43	1.247408252
44	1.237399265
45	1.229491971
46	1.221693867
47	1.21335019
48	1.204340332
49	1.196271602
50	1.189589985
51	1.180999663
52	1.173881372
53	1.168759426
54	1.162923496
55	1.155408656
56	1.149319177
57	1.142854705
58	1.133326097
59	1.127974987
60	1.123063969
61	1.115103333
62	1.109686341
63	1.102243812
64	1.094699582
65	1.088945406
66	1.084880499
67	1.080178115
68	1.074564536
69	1.069579643
70	1.065711731
71	1.061124471
72	1.057079462
73	1.051509474
74	1.047632592
75	1.042320001
76	1.037888762
77	1.034441781
78	1.031335833
79	1.028045849
80	1.024969285
81	1.022573105
82	1.017340965
83	1.013983213
84	1.008875119
85	1.005535804
86	1.002706499
87	0.9975432154
88	0.9938469582
89	0.9918089273
90	0.9886480098
91	0.9862451957
92	0.9827087535
93	0.9811464631
94	0.9797429493
95	0.9773289636
96	0.9746413212
97	0.9719408531
98	0.9699598127
99	0.9642692214
100	0.9606275758
101	0.9584565788
102	0.9554121536
103	0.9540308757
104	0.9492396391
105	0.9463840501
106	0.945481119
107	0.9430937002
108	0.9414273827
109	0.9390355212
110	0.9357428678
111	0.9329436909
112	0.9318407929
113	0.9269950769
114	0.9241410035
115	0.9201922878
116	0.9181664839
117	0.9168346603
118	0.9154401886
119	0.9139795798
120	0.9124049373
121	0.9090716331
122	0.9063722403
123	0.9045031285
124	0.9028139982
125	0.8999639656
126	0.8962428362
127	0.8948468839
128	0.8929619113
