iter	Passed	Remaining
0	0	982
1	1	831
2	2	861
3	3	887
4	4	869
5	5	854
6	5	833
7	6	838
8	7	852
9	8	850
10	9	852
11	10	870
12	11	873
13	12	874
14	13	870
15	14	864
16	14	860
17	15	859
18	16	864
19	17	869
20	18	870
21	19	864
22	20	854
23	20	848
24	21	842
25	22	837
26	23	841
27	24	842
28	25	847
29	26	856
30	27	865
31	28	870
32	29	875
33	30	875
34	32	884
35	33	888
36	34	885
37	34	885
38	35	885
39	36	882
40	37	884
41	38	886
42	39	884
43	40	885
44	41	883
45	42	882
46	43	875
47	44	876
48	45	876
49	45	873
50	47	874
51	48	876
52	49	877
53	50	876
54	51	877
55	52	876
56	52	873
57	53	871
58	54	868
59	55	868
60	56	869
61	57	869
62	58	868
63	59	867
64	60	864
65	60	862
66	61	855
67	62	853
68	63	853
69	64	853
70	65	852
71	66	851
72	67	852
73	68	851
74	69	851
75	69	848
76	70	850
77	71	849
78	72	849
79	73	849
80	74	847
81	75	847
82	76	846
83	77	845
84	78	843
85	79	840
86	79	839
87	80	838
88	81	837
89	82	834
90	83	834
91	84	833
92	85	833
93	86	831
94	87	831
95	88	832
96	89	833
97	90	832
98	91	831
99	92	831
100	93	830
101	94	828
102	94	826
103	95	825
104	96	824
105	97	823
106	98	822
107	99	820
108	100	819
109	101	817
110	101	816
111	102	815
112	103	815
113	104	815
114	105	814
115	106	814
116	107	814
117	108	814
118	109	813
119	110	811
120	111	811
121	112	811
122	113	811
123	114	810
124	115	809
125	116	808
126	117	807
127	118	806
128	119	805
