hotel,date,occupied_rooms,avg_adr,avg_lead_time,avg_adults,seg_TA,seg_TO,seg_Direct,seg_Corporate,capacity,occupancy_rate,year,month,day,dayofweek,dayofyear,weekofyear,quarter,is_weekend,doy_sin,doy_cos,dow_sin,dow_cos,occ_lag_7,adr_lag_7,occ_lag_14,adr_lag_14,occ_lag_28,adr_lag_28,occ_roll_7,occ_roll_28
City Hotel,2015-07-01,65,95.07692307692308,250.8,1.7846153846153847,0.0,0.0,0.0,0.0,224.0,0.29017857142857145,2015,7,1,2,182,27,3,0,0.01075130776352193,-0.9999422030204416,0.9749279121818236,-0.22252093395631434,,,,,,,,
City Hotel,2015-07-02,66,94.52530303030304,247.04545454545453,1.7727272727272727,0.0,0.0,0.0,0.0,224.0,0.29464285714285715,2015,7,2,3,183,27,3,0,-0.00645086419810515,-0.9999791929590823,0.43388373911755823,-0.900968867902419,,,,,,,0.29017857142857145,0.29017857142857145
City Hotel,2015-07-03,13,76.30307692307693,59.46153846153846,1.8461538461538463,0.0,0.0,0.0,0.0,224.0,0.05803571428571429,2015,7,3,4,184,27,3,1,-0.023651127245231586,-0.9997202729664083,-0.433883739117558,-0.9009688679024191,,,,,,,0.2924107142857143,0.2924107142857143
City Hotel,2015-07-04,22,71.17909090909092,130.5,1.8181818181818181,0.0,0.0,0.0,0.0,224.0,0.09821428571428571,2015,7,4,5,185,27,3,1,-0.04084439154329611,-0.9991655196610109,-0.9749279121818236,-0.2225209339563146,,,,,,,0.2142857142857143,0.2142857142857143
City Hotel,2015-07-05,12,68.5225,210.0,1.9166666666666667,0.0,0.0,0.0,0.0,224.0,0.05357142857142857,2015,7,5,6,186,27,3,1,-0.05802556932878035,-0.9983150972033183,-0.7818314824680299,0.6234898018587334,,,,,,,0.18526785714285715,0.18526785714285715
City Hotel,2015-07-06,11,63.67272727272727,213.0,1.8181818181818181,0.0,0.0,0.0,0.0,224.0,0.049107142857142856,2015,7,6,0,187,28,3,0,-0.07518957641475855,-0.9971692572470178,0.0,1.0,,,,,,,0.15892857142857145,0.15892857142857145
City Hotel,2015-07-07,12,64.39333333333333,190.08333333333334,1.8333333333333333,0.0,0.0,0.0,0.0,224.0,0.05357142857142857,2015,7,7,1,188,28,3,0,-0.09233133369539123,-0.9957283388645872,0.7818314824680298,0.6234898018587336,,,,,,,0.140625,0.140625
City Hotel,2015-07-08,27,60.174814814814816,216.88888888888889,1.962962962962963,0.0,0.0,0.0,0.0,224.0,0.12053571428571429,2015,7,8,2,189,28,3,0,-0.10944576864891556,-0.993992768446958,0.9749279121818236,-0.22252093395631434,0.29017857142857145,95.07692307692308,,,,,0.12818877551020408,0.12818877551020408
City Hotel,2015-07-09,27,59.538518518518515,217.74074074074073,1.962962962962963,0.0,0.0,0.0,0.0,224.0,0.12053571428571429,2015,7,9,3,190,28,3,0,-0.12652781683868314,-0.9919630595773397,0.43388373911755823,-0.900968867902419,0.29464285714285715,94.52530303030304,,,,,0.10395408163265307,0.12723214285714285
City Hotel,2015-07-10,6,75.32666666666667,78.66666666666667,2.0,0.0,0.0,0.0,0.0,224.0,0.026785714285714284,2015,7,10,4,191,28,3,1,-0.1435724234118113,-0.9896398128792412,-0.433883739117558,-0.9009688679024191,0.05803571428571429,76.30307692307693,,,,,0.07908163265306123,0.12648809523809523
City Hotel,2015-07-11,37,85.22162162162162,77.08108108108108,1.945945945945946,0.0,0.0,0.0,0.0,224.0,0.16517857142857142,2015,7,11,5,192,28,3,1,-0.16057454459499376,-0.9870237158387383,-0.9749279121818236,-0.2225209339563146,0.09821428571428571,71.17909090909092,,,,,0.0746173469387755,0.11651785714285715
