listing_id,market,country,archetype,property_type,bedrooms,capacity,base_price,is_superhost,review_score,num_reviews,instant_book,wifi,air_conditioning,pool,parking,kitchen,lat,lon,host_since
19658,Ward 5,ZA,private_room,Private room in home,1,2,1502.0,False,4.89,0,False,False,False,False,True,True,-33.87208,18.53586,2010-01-28
20125,Ward 73,ZA,private_room,Private room in rental unit,1,2,1502.0,False,4.89,0,False,False,False,False,False,False,-34.0259,18.48428,2010-02-01
122455,Ward 115,ZA,entire_home,Entire home,4,7,3897.0,False,4.79,39,False,True,False,True,True,True,-33.91026,18.40473,2011-05-22
200211,Ward 54,ZA,entire_home,Entire condo,2,3,994.0,True,4.77,141,False,True,False,False,True,True,-33.9143,18.39538,2011-08-16
218269,Ward 115,ZA,entire_home,Entire cottage,1,2,740.0,True,4.88,128,False,True,False,False,True,True,-33.93153,18.40756,2010-10-07
282586,Ward 54,ZA,entire_home,Entire cottage,1,2,3842.0,True,4.87,53,False,True,True,True,True,True,-33.92649,18.38291,2011-11-08
291205,Ward 71,ZA,entire_home,Entire rental unit,1,3,1062.0,False,4.87,25,False,True,False,True,True,True,-34.07088,18.45068,2011-12-17
298622,Ward 61,ZA,entire_home,Entire rental unit,1,4,1543.0,False,4.92,77,False,True,False,True,True,True,-34.20875,18.4594,2011-12-27
302227,Ward 115,ZA,entire_home,Entire rental unit,1,2,790.0,False,4.71,10,False,True,False,True,False,True,-33.92744064331055,18.415037155151367,2011-12-30
516875,Ward 115,ZA,entire_home,Entire rental unit,2,4,1980.0,False,4.66,92,False,True,False,False,True,True,-33.91501,18.41935,2019-10-15
613068,Ward 21,ZA,entire_home,Entire home,2,4,1502.0,False,4.89,0,False,True,False,True,True,True,-33.88196,18.63907,2012-06-10
653488,Ward 115,ZA,private_room,Private room in home,1,2,1625.0,False,4.47,17,False,True,False,False,True,True,-33.91238021850586,18.415029525756836,2012-07-21
660099,Ward 4,ZA,entire_home,Entire serviced apartment,1,2,729.0,False,4.79,19,False,True,False,True,True,True,-33.85363,18.49401,2012-08-21
672103,Ward 71,ZA,entire_home,Entire villa,3,6,6311.0,False,5.0,10,False,True,False,True,True,True,-34.04267,18.42773,2012-08-29
690609,Ward 57,ZA,entire_home,Entire home,2,4,1235.0,False,4.86,185,False,True,False,False,True,True,-33.93651,18.46634,2018-08-27
795400,Ward 57,ZA,entire_home,Entire home,2,4,1275.0,False,4.33,6,False,True,False,False,False,True,-33.93292,18.44942,2012-11-19
811611,Ward 77,ZA,entire_home,Entire guest suite,1,2,1502.0,True,4.86,317,False,True,True,False,True,True,-33.92922,18.40736,2012-11-28
858532,Ward 115,ZA,entire_home,Entire loft,1,2,1197.0,True,4.69,39,False,True,False,True,True,True,-33.92523,18.42385,2012-12-26
861257,Ward 77,ZA,private_room,Private room in home,1,2,784.0,True,4.56,52,False,True,False,False,True,True,-33.93011,18.40566,2012-12-13
875916,Ward 74,ZA,entire_home,Entire rental unit,1,2,2315.0,False,4.39,18,False,True,False,True,True,True,-34.00883098070535,18.34499731546999,2013-01-08
887577,Ward 69,ZA,entire_home,Entire home,4,8,8000.0,False,4.5,2,False,True,False,True,True,True,-34.11662,18.37807,2013-01-15
900802,Ward 58,ZA,private_room,Private room in rental unit,1,2,954.0,False,4.96,23,False,True,False,True,True,True,-33.96183,18.48047,2013-01-23
938818,Ward 74,ZA,entire_home,Entire home,3,6,11861.0,False,4.89,0,False,True,False,True,True,True,-34.01097,18.33637,2013-02-13
988881,Ward 74,ZA,entire_home,Entire rental unit,1,1,1502.0,False,4.89,0,False,True,False,True,True,True,-34.03418,18.36039,2013-03-12
1040329,Ward 115,ZA,entire_home,Entire rental unit,1,4,1634.0,False,4.45,11,True,True,False,False,True,True,-33.92528,18.42274,2013-03-18
1043446,Ward 115,ZA,entire_home,Entire rental unit,1,2,1332.0,False,4.22,9,True,True,False,False,True,True,-33.92285,18.4235,2013-03-18
1101917,Ward 62,ZA,entire_home,Entire villa,3,6,5482.0,True,4.95,131,False,True,False,True,True,True,-34.00644,18.42661,2012-06-30
1111212,Ward 100,ZA,entire_home,Entire rental unit,2,4,1502.0,False,4.38,16,False,True,False,True,True,True,-34.16382,18.86643,2013-04-26
1144728,Ward 57,ZA,entire_home,Entire rental unit,1,2,1502.0,False,4.74,92,False,True,False,False,True,True,-33.93323,18.45348,2013-05-07
1557974,Ward 62,ZA,private_room,Private room in home,1,2,996.0,False,4.87,15,False,True,False,False,True,True,-34.01182,18.44789,2013-08-21
1643095,Ward 4,ZA,private_room,Other,1,3,1502.0,False,4.67,3,False,True,False,True,True,True,-33.858356,18.490376,2009-12-02
1644384,Ward 58,ZA,entire_home,Entire home,4,6,3500.0,False,5.0,2,False,True,False,True,True,True,-33.9783,18.48517,2013-09-09
1681507,Ward 115,ZA,private_room,Private room in rental unit,2,1,1502.0,False,4.89,0,False,True,False,False,True,True,-33.91054,18.40993,2013-09-17
1712959,Ward 58,ZA,entire_home,Entire rental unit,1,2,1502.0,True,4.91,43,False,True,False,False,True,True,-33.97912,18.47512,2013-09-24
1723346,Ward 54,ZA,entire_home,Entire rental unit,1,2,923.0,True,4.84,79,False,True,False,False,True,True,-33.92231,18.38235,2011-12-11
1724734,Ward 77,ZA,entire_home,Entire loft,1,2,4251.0,True,4.98,43,False,True,True,True,True,True,-33.93119,18.40224,2011-07-25
1756733,Ward 74,ZA,entire_home,Entire cottage,1,2,1502.0,False,4.8,15,False,True,False,True,True,True,-34.04536,18.36546,2012-08-26
1795805,Ward 57,ZA,entire_home,Entire rental unit,1,2,704.0,False,4.73,123,True,True,False,False,True,True,-33.9343,18.45385,2013-09-25
