feature,gain
hotel_month_occ,437.975807994153
avg_lead_time,170.76499555576365
avg_adr,147.51321139728816
doy_cos,69.54741876251501
seg_Direct,25.50848220601165
week_cos,21.35131345310947
adr_sq,20.576707508702384
avg_adults,20.387686683174252
doy_sin,18.774386178203713
lead_time_log,17.25221650574167
year,15.395271626126487
adr_x_month_sin,13.061814260421443
day_cos,9.279009342786594
dayofyear,8.703033875384714
day_sin,6.899770350974904
week_sin,6.8199752564541996
dayofweek,6.410051581216976
day,6.0483447779811215
seg_Corporate,4.921665154936306
hotel_avg_occ,4.2624082149970945
adr_x_weekend,2.4470463197339996
dow_sin,2.2836433835182106
quarter_sin,2.133553628111258
dow_cos,1.5381394368887413
weekofyear,1.3245546778780408
month_sin,1.22246643845574
month_cos,0.7492705835029483
month,0.6288258993299678
week_of_month,0.057182389246690946
quarter_cos,0.008748680003918707
adr_log,0.0
is_weekend,0.0
quarter,0.0
is_month_start,0.0
is_month_end,0.0
